From Country,To Country,Year,Jury or Televoting,Points,Source
Portugal,Norway,1976,J,4,http://datagraver.com/
Portugal,Germany,1995,J,0,http://datagraver.com/
Switzerland,Malta,2006,J,0,http://datagraver.com/
Malta,Sweden,1975,J,2,http://datagraver.com/
Israel,United Kingdom,1979,J,0,http://datagraver.com/
Finland,Portugal,1994,J,5,http://datagraver.com/
Israel,Norway,1977,J,0,http://datagraver.com/
Belgium,Belarus,2007,J,0,http://datagraver.com/
Sweden,Turkey,1992,J,0,http://datagraver.com/
Finland,Belgium,2019,J,2,http://datagraver.com/
The Netherlands,Portugal,1983,J,6,http://datagraver.com/
Italy,Greece,2019,J,0,http://datagraver.com/
Austria,F.Y.R. Macedonia,2000,J,0,http://datagraver.com/
The Netherlands,Italy,1989,J,0,http://datagraver.com/
Switzerland,Sweden,1975,J,1,http://datagraver.com/
Monaco,Portugal,1976,J,0,http://datagraver.com/
Austria,Austria,1976,J,0,http://datagraver.com/
Austria,Belarus,2007,J,0,http://datagraver.com/
Portugal,Denmark,1982,J,3,http://datagraver.com/
Italy,Luxembourg,1977,J,0,http://datagraver.com/
Denmark,Switzerland,1989,J,2,http://datagraver.com/
Estonia,Germany,1999,J,7,http://datagraver.com/
Belarus,Slovenia,2019,J,0,http://datagraver.com/
Norway,Norway,1975,J,0,http://datagraver.com/
Switzerland,Denmark,2000,J,10,http://datagraver.com/
Israel,Israel,1975,J,0,http://datagraver.com/
Israel,Norway,1982,J,0,http://datagraver.com/
Ireland,Austria,1978,J,0,http://datagraver.com/
Portugal,Belgium,2019,J,10,http://datagraver.com/
Latvia,Ireland,2018,T,0,http://datagraver.com/
Iceland,Belgium,2018,J,2,http://datagraver.com/
Israel,Italy,1977,J,0,http://datagraver.com/
Belgium,Greece,2006,J,10,http://datagraver.com/
San Marino,Sweden,2018,J,12,http://datagraver.com/
Czech Republic,Switzerland,2019,T,5,http://datagraver.com/
Belgium,Germany,1981,J,10,http://datagraver.com/
Italy,Ireland,1975,J,4,http://datagraver.com/
Romania,The Netherlands,2019,T,6,http://datagraver.com/
Greece,Spain,1990,J,8,http://datagraver.com/
United Kingdom,Norway,1983,J,5,http://datagraver.com/
Denmark,The Netherlands,2019,T,7,http://datagraver.com/
Germany,Finland,1994,J,0,http://datagraver.com/
Malta,Switzerland,1975,J,6,http://datagraver.com/
Germany,Denmark,2019,T,4,http://datagraver.com/
Montenegro,Norway,2007,J,2,http://datagraver.com/
Monaco,Luxembourg,1977,J,0,http://datagraver.com/
Greece,Norway,1976,J,0,http://datagraver.com/
Montenegro,Estonia,2019,J,0,http://datagraver.com/
Estonia,Iceland,1996,J,8,http://datagraver.com/
Estonia,Hungary,2019,J,5,http://datagraver.com/
Germany,Switzerland,2007,J,8,http://datagraver.com/
Sweden,Germany,1989,J,6,http://datagraver.com/
Israel,Ireland,1975,J,0,http://datagraver.com/
Spain,Yugoslavia,1989,J,0,http://datagraver.com/
The Netherlands,Malta,2003,J,0,http://datagraver.com/
France,Luxembourg,1979,J,2,http://datagraver.com/
Spain,Sweden,1994,J,1,http://datagraver.com/
Belgium,Lithuania,2007,J,0,http://datagraver.com/
Belgium,Germany,1976,J,1,http://datagraver.com/
Norway,Italy,2019,T,7,http://datagraver.com/
Finland,Russia,2006,J,6,http://datagraver.com/
Norway,North Macedonia,2019,J,7,http://datagraver.com/
The Netherlands,Luxembourg,1980,J,0,http://datagraver.com/
France,Germany,1975,J,0,http://datagraver.com/
Armenia,Albania,2019,J,0,http://datagraver.com/
Armenia,Austria,2019,J,0,http://datagraver.com/
Switzerland,Norway,1984,J,2,http://datagraver.com/
Moldova,The Netherlands,2019,J,0,http://datagraver.com/
Austria,United Kingdom,1976,J,10,http://datagraver.com/
Austria,Ireland,2019,T,0,http://datagraver.com/
Ireland,Albania,2019,J,0,http://datagraver.com/
Switzerland,Luxembourg,1976,J,0,http://datagraver.com/
Czech Republic,Georgia,2008,J,4,http://datagraver.com/
Denmark,Czech Republic,2019,J,0,http://datagraver.com/
Portugal,Belgium,2017,J,0,http://datagraver.com/
Germany,Italy,1979,J,0,http://datagraver.com/
Belarus,North Macedonia,2019,J,10,http://datagraver.com/
Spain,Turkey,1975,J,0,http://datagraver.com/
The Netherlands,Belgium,1975,J,5,http://datagraver.com/
Yugoslavia,Denmark,1986,J,0,http://datagraver.com/
Norway,Luxembourg,1976,J,0,http://datagraver.com/
France,Spain,1977,J,0,http://datagraver.com/
The Netherlands,Luxembourg,1989,J,0,http://datagraver.com/
Greece,Austria,1987,J,7,http://datagraver.com/
Ireland,Romania,2005,J,5,http://datagraver.com/
Portugal,Sweden,2019,J,2,http://datagraver.com/
Ireland,Switzerland,1990,J,0,http://datagraver.com/
Yugoslavia,Yugoslavia,1975,J,0,http://datagraver.com/
France,The Netherlands,1975,J,5,http://datagraver.com/
The Netherlands,Spain,1975,J,0,http://datagraver.com/
Switzerland,Ireland,1978,J,7,http://datagraver.com/
Finland,Iceland,2011,J,10,http://datagraver.com/
Spain,Luxembourg,1979,J,0,http://datagraver.com/
Albania,Israel,2019,J,0,http://datagraver.com/
Sweden,Greece,1980,J,0,http://datagraver.com/
Australia,United Kingdom,2019,J,0,http://datagraver.com/
Finland,Cyprus,1985,J,0,http://datagraver.com/
Portugal,Israel,1975,J,0,http://datagraver.com/
Slovakia,Ireland,1998,J,4,http://datagraver.com/
Spain,Italy,1977,J,2,http://datagraver.com/
Yugoslavia,Switzerland,1989,J,0,http://datagraver.com/
Monaco,Monaco,1976,J,0,http://datagraver.com/
Slovenia,Finland,2019,T,0,http://datagraver.com/
Yugoslavia,Ireland,1988,J,2,http://datagraver.com/
Spain,Ireland,1980,J,7,http://datagraver.com/
Turkey,Germany,1986,J,0,http://datagraver.com/
Sweden,Turkey,1975,J,0,http://datagraver.com/
Belgium,Luxembourg,1983,J,8,http://datagraver.com/
Austria,Finland,2018,T,0,http://datagraver.com/
Spain,Greece,2004,J,7,http://datagraver.com/
Monaco,Belgium,1976,J,8,http://datagraver.com/
Israel,Russia,2012,J,12,http://datagraver.com/
Germany,France,1975,J,0,http://datagraver.com/
Luxembourg,Italy,1977,J,0,http://datagraver.com/
Turkey,F.Y.R. Macedonia,2005,J,10,http://datagraver.com/
Iceland,Iceland,1988,J,0,http://datagraver.com/
Portugal,Italy,1977,J,3,http://datagraver.com/
Estonia,Greece,2019,J,0,http://datagraver.com/
Italy,Israel,1977,J,0,http://datagraver.com/
Finland,Switzerland,1976,J,7,http://datagraver.com/
Austria,Yugoslavia,1976,J,0,http://datagraver.com/
Serbia,Slovenia,2019,J,7,http://datagraver.com/
The Netherlands,Luxembourg,1976,J,5,http://datagraver.com/
France,Poland,1995,J,0,http://datagraver.com/
Belgium,Austria,1976,J,3,http://datagraver.com/
Ireland,France,2004,J,0,http://datagraver.com/
Sweden,Portugal,1990,J,0,http://datagraver.com/
Ukraine,Sweden,2018,T,4,http://datagraver.com/
Norway,Finland,1975,J,10,http://datagraver.com/
Romania,Switzerland,2017,T,10,http://datagraver.com/
F.Y.R. Macedonia,Germany,2002,J,0,http://datagraver.com/
Belgium,Yugoslavia,1976,J,0,http://datagraver.com/
Israel,Greece,1979,J,10,http://datagraver.com/
Ireland,Greece,1978,J,7,http://datagraver.com/
Ireland,Greece,1988,J,0,http://datagraver.com/
Germany,Spain,1977,J,7,http://datagraver.com/
Greece,Germany,2004,J,0,http://datagraver.com/
Turkey,France,1980,J,3,http://datagraver.com/
The Netherlands,Spain,2003,J,5,http://datagraver.com/
Ireland,United Kingdom,1979,J,7,http://datagraver.com/
Yugoslavia,Italy,1976,J,6,http://datagraver.com/
Croatia,Belarus,2019,J,0,http://datagraver.com/
The Netherlands,Cyprus,1990,J,0,http://datagraver.com/
Estonia,San Marino,2019,T,0,http://datagraver.com/
France,Italy,1980,J,2,http://datagraver.com/
Finland,The Netherlands,1977,J,0,http://datagraver.com/
Israel,France,1975,J,7,http://datagraver.com/
Austria,Portugal,1990,J,0,http://datagraver.com/
Portugal,Israel,2018,T,1,http://datagraver.com/
Norway,Israel,1977,J,5,http://datagraver.com/
Switzerland,Italy,1978,J,1,http://datagraver.com/
France,Italy,1975,J,4,http://datagraver.com/
Austria,Luxembourg,1976,J,0,http://datagraver.com/
Portugal,Norway,1980,J,0,http://datagraver.com/
United Kingdom,Norway,1999,J,0,http://datagraver.com/
France,Yugoslavia,1975,J,0,http://datagraver.com/
Spain,Israel,1976,J,1,http://datagraver.com/
Spain,Cyprus,1983,J,0,http://datagraver.com/
Russia,Bulgaria,2005,J,0,http://datagraver.com/
Lithuania,Czech Republic,2019,J,7,http://datagraver.com/
Switzerland,Switzerland,1975,J,0,http://datagraver.com/
United Kingdom,Sweden,1987,J,0,http://datagraver.com/
Turkey,The Netherlands,2003,J,0,http://datagraver.com/
Monaco,Ireland,1976,J,6,http://datagraver.com/
Latvia,Switzerland,2019,J,0,http://datagraver.com/
Austria,Portugal,1981,J,0,http://datagraver.com/
Ireland,Germany,1997,J,0,http://datagraver.com/
Moldova,Switzerland,2019,J,0,http://datagraver.com/
Yugoslavia,Turkey,1975,J,0,http://datagraver.com/
Portugal,Belgium,1983,J,1,http://datagraver.com/
Austria,Russia,1994,J,6,http://datagraver.com/
United Kingdom,Slovenia,1996,J,0,http://datagraver.com/
Moldova,Australia,2019,J,10,http://datagraver.com/
United Kingdom,Portugal,2017,T,8,http://datagraver.com/
United Kingdom,The Netherlands,1975,J,12,http://datagraver.com/
Spain,Greece,2019,J,10,http://datagraver.com/
Israel,Spain,2019,J,0,http://datagraver.com/
Denmark,Italy,1979,J,0,http://datagraver.com/
Turkey,Portugal,1975,J,12,http://datagraver.com/
Finland,United Kingdom,1977,J,4,http://datagraver.com/
Portugal,France,1986,J,0,http://datagraver.com/
Portugal,France,2019,J,0,http://datagraver.com/
Finland,Greece,2017,T,0,http://datagraver.com/
Portugal,Azerbaijan,2018,T,7,http://datagraver.com/
Switzerland,Belgium,1975,J,0,http://datagraver.com/
Moldova,Russia,2019,J,5,http://datagraver.com/
Spain,Spain,1975,J,0,http://datagraver.com/
Italy,North Macedonia,2019,T,0,http://datagraver.com/
Luxembourg,Turkey,1991,J,0,http://datagraver.com/
United Kingdom,Yugoslavia,1989,J,12,http://datagraver.com/
Denmark,The Netherlands,1982,J,0,http://datagraver.com/
Turkey,Germany,1975,J,0,http://datagraver.com/
Italy,Israel,2019,T,0,http://datagraver.com/
Sweden,Ireland,1984,J,12,http://datagraver.com/
Greece,Monaco,1976,J,0,http://datagraver.com/
Ireland,Monaco,1977,J,5,http://datagraver.com/
The Netherlands,United Kingdom,1980,J,7,http://datagraver.com/
Germany,Denmark,2019,J,1,http://datagraver.com/
Greece,Germany,1978,J,7,http://datagraver.com/
Finland,France,1981,J,10,http://datagraver.com/
Switzerland,Italy,1985,J,0,http://datagraver.com/
France,Belgium,1978,J,12,http://datagraver.com/
Greece,Austria,1976,J,6,http://datagraver.com/
Germany,Turkey,1975,J,0,http://datagraver.com/
Turkey,Turkey,1975,J,0,http://datagraver.com/
Turkey,Spain,1975,J,3,http://datagraver.com/
Germany,Portugal,1975,J,0,http://datagraver.com/
United Kingdom,Norway,1976,J,0,http://datagraver.com/
Greece,Israel,2008,J,5,http://datagraver.com/
Norway,Serbia,2017,T,0,http://datagraver.com/
Finland,Luxembourg,1982,J,7,http://datagraver.com/
Luxembourg,Portugal,1975,J,0,http://datagraver.com/
Yugoslavia,Finland,1976,J,0,http://datagraver.com/
Belgium,Israel,1978,J,12,http://datagraver.com/
Luxembourg,Germany,1981,J,3,http://datagraver.com/
Iceland,Moldova,2016,T,0,http://datagraver.com/
The Netherlands,Australia,2019,J,2,http://datagraver.com/
Greece,Denmark,2019,J,0,http://datagraver.com/
Ireland,Monaco,1976,J,8,http://datagraver.com/
Serbia,Finland,2019,J,0,http://datagraver.com/
Greece,Ireland,1977,J,10,http://datagraver.com/
The Netherlands,Ireland,1975,J,6,http://datagraver.com/
Greece,Germany,1991,J,0,http://datagraver.com/
The Netherlands,United Kingdom,1977,J,7,http://datagraver.com/
Iceland,Finland,1986,J,6,http://datagraver.com/
Finland,Italy,1984,J,12,http://datagraver.com/
Israel,Portugal,2017,T,12,http://datagraver.com/
The Netherlands,San Marino,2019,T,0,http://datagraver.com/
United Kingdom,Ireland,1975,J,6,http://datagraver.com/
Luxembourg,Switzerland,1977,J,5,http://datagraver.com/
Israel,Lithuania,2018,T,0,http://datagraver.com/
Sweden,Ireland,1986,J,7,http://datagraver.com/
Ireland,Norway,1976,J,0,http://datagraver.com/
Germany,Spain,2019,J,0,http://datagraver.com/
Norway,Malta,2019,J,0,http://datagraver.com/
Cyprus,The Netherlands,2000,J,5,http://datagraver.com/
United Kingdom,France,1992,J,0,http://datagraver.com/
Cyprus,Germany,1994,J,6,http://datagraver.com/
Greece,Yugoslavia,1991,J,0,http://datagraver.com/
Romania,Portugal,2017,T,7,http://datagraver.com/
France,The Netherlands,1981,J,2,http://datagraver.com/
Italy,The Netherlands,1977,J,0,http://datagraver.com/
Denmark,Estonia,2019,J,2,http://datagraver.com/
Croatia,Albania,2004,J,7,http://datagraver.com/
Luxembourg,Spain,1981,J,0,http://datagraver.com/
Denmark,Monaco,1979,J,4,http://datagraver.com/
Monaco,Israel,1975,J,0,http://datagraver.com/
Hungary,The Netherlands,2019,T,8,http://datagraver.com/
Israel,Czech Republic,2018,T,12,http://datagraver.com/
Yugoslavia,Belgium,1983,J,0,http://datagraver.com/
Finland,Germany,1976,J,0,http://datagraver.com/
Norway,Portugal,1977,J,0,http://datagraver.com/
Belgium,France,1976,J,10,http://datagraver.com/
Yugoslavia,Luxembourg,1984,J,8,http://datagraver.com/
Belarus,Armenia,2018,J,4,http://datagraver.com/
Luxembourg,Portugal,1977,J,0,http://datagraver.com/
Norway,Finland,1986,J,0,http://datagraver.com/
Spain,Belgium,1976,J,0,http://datagraver.com/
Italy,Austria,1983,J,5,http://datagraver.com/
Belgium,United Kingdom,2000,J,0,http://datagraver.com/
Turkey,Yugoslavia,1988,J,7,http://datagraver.com/
Norway,Denmark,2000,J,10,http://datagraver.com/
Romania,Denmark,2019,J,0,http://datagraver.com/
Austria,France,1976,J,12,http://datagraver.com/
France,Spain,1975,J,0,http://datagraver.com/
Turkey,Israel,1975,J,6,http://datagraver.com/
Finland,Armenia,2006,J,0,http://datagraver.com/
Yugoslavia,Ireland,1984,J,0,http://datagraver.com/
Croatia,Portugal,1997,J,0,http://datagraver.com/
The Netherlands,Norway,1976,J,3,http://datagraver.com/
The Netherlands,Cyprus,1994,J,0,http://datagraver.com/
Spain,Belgium,1977,J,0,http://datagraver.com/
Monaco,Norway,1975,J,2,http://datagraver.com/
Cyprus,Spain,1996,J,2,http://datagraver.com/
Belgium,Monaco,1975,J,0,http://datagraver.com/
The Netherlands,France,1984,J,12,http://datagraver.com/
The Netherlands,Belarus,2019,J,0,http://datagraver.com/
Israel,Luxembourg,1993,J,0,http://datagraver.com/
Croatia,United Kingdom,2009,J,4,http://datagraver.com/
Austria,Norway,1977,J,0,http://datagraver.com/
Norway,Yugoslavia,1981,J,1,http://datagraver.com/
The Netherlands,United Kingdom,2007,J,0,http://datagraver.com/
Finland,Finland,2018,T,0,http://datagraver.com/
The Netherlands,Yugoslavia,1975,J,3,http://datagraver.com/
Armenia,Serbia,2008,J,3,http://datagraver.com/
Hungary,Switzerland,2017,J,0,http://datagraver.com/
Finland,Germany,1978,J,12,http://datagraver.com/
France,Spain,1979,J,8,http://datagraver.com/
Armenia,Finland,2018,T,0,http://datagraver.com/
Germany,Luxembourg,1978,J,0,http://datagraver.com/
Germany,France,1978,J,10,http://datagraver.com/
Germany,Sweden,1992,J,0,http://datagraver.com/
France,France,1976,J,0,http://datagraver.com/
Luxembourg,Belgium,1984,J,12,http://datagraver.com/
Finland,Sweden,1977,J,0,http://datagraver.com/
Germany,Italy,1977,J,3,http://datagraver.com/
Serbia,Estonia,2019,J,0,http://datagraver.com/
Norway,Italy,2019,J,3,http://datagraver.com/
Ireland,Finland,1977,J,12,http://datagraver.com/
Italy,Israel,1976,J,10,http://datagraver.com/
Spain,Austria,1985,J,0,http://datagraver.com/
Belgium,Yugoslavia,1991,J,0,http://datagraver.com/
France,Germany,1987,J,6,http://datagraver.com/
United Kingdom,Italy,1976,J,1,http://datagraver.com/
Norway,Ireland,1975,J,4,http://datagraver.com/
Czech Republic,Ukraine,2007,J,12,http://datagraver.com/
Yugoslavia,Switzerland,1975,J,0,http://datagraver.com/
Switzerland,The Netherlands,2019,J,10,http://datagraver.com/
Finland,Norway,2018,J,0,http://datagraver.com/
Ireland,Germany,1976,J,0,http://datagraver.com/
Austria,Spain,1994,J,0,http://datagraver.com/
The Netherlands,Sweden,2018,T,6,http://datagraver.com/
Israel,Finland,1975,J,8,http://datagraver.com/
Finland,Estonia,1998,J,12,http://datagraver.com/
Israel,Sweden,1975,J,3,http://datagraver.com/
Portugal,The Netherlands,1977,J,0,http://datagraver.com/
Ireland,Austria,1976,J,10,http://datagraver.com/
France,Israel,1976,J,0,http://datagraver.com/
Portugal,Switzerland,2018,J,0,http://datagraver.com/
Greece,Switzerland,1977,J,6,http://datagraver.com/
France,Belgium,1981,J,0,http://datagraver.com/
Austria,United Kingdom,1979,J,6,http://datagraver.com/
Switzerland,Luxembourg,1984,J,0,http://datagraver.com/
Iceland,France,2007,J,0,http://datagraver.com/
Greece,Cyprus,1989,J,7,http://datagraver.com/
Belgium,Finland,1981,J,0,http://datagraver.com/
Ireland,Norway,2019,J,6,http://datagraver.com/
Denmark,Finland,1979,J,0,http://datagraver.com/
Serbia & Montenegro,Ireland,2004,J,0,http://datagraver.com/
Austria,Denmark,1984,J,4,http://datagraver.com/
Luxembourg,Belgium,1981,J,0,http://datagraver.com/
France,Italy,1993,J,5,http://datagraver.com/
Belgium,Australia,2018,T,0,http://datagraver.com/
Greece,Greece,1977,J,0,http://datagraver.com/
Yugoslavia,Austria,1976,J,2,http://datagraver.com/
Italy,Belgium,1980,J,0,http://datagraver.com/
France,Finland,1979,J,5,http://datagraver.com/
Finland,Belgium,1979,J,0,http://datagraver.com/
Yugoslavia,Monaco,1975,J,0,http://datagraver.com/
Yugoslavia,Italy,1989,J,8,http://datagraver.com/
Denmark,Switzerland,2005,J,1,http://datagraver.com/
Monaco,Portugal,1975,J,0,http://datagraver.com/
Israel,Portugal,1976,J,0,http://datagraver.com/
Azerbaijan,Greece,2019,T,0,http://datagraver.com/
Armenia,Norway,2019,T,5,http://datagraver.com/
Germany,Switzerland,1977,J,0,http://datagraver.com/
Yugoslavia,Yugoslavia,1987,J,0,http://datagraver.com/
Switzerland,Serbia,2019,J,0,http://datagraver.com/
Germany,The Netherlands,1976,J,4,http://datagraver.com/
Luxembourg,Italy,1990,J,10,http://datagraver.com/
Moldova,Switzerland,2019,J,0,http://datagraver.com/
Luxembourg,Switzerland,1975,J,2,http://datagraver.com/
Greece,Germany,1985,J,0,http://datagraver.com/
Austria,Monaco,1976,J,5,http://datagraver.com/
Norway,Luxembourg,1978,J,0,http://datagraver.com/
Monaco,Finland,1977,J,0,http://datagraver.com/
Azerbaijan,Israel,2008,J,10,http://datagraver.com/
Poland,Belgium,2004,J,0,http://datagraver.com/
F.Y.R. Macedonia,Ireland,2018,J,1,http://datagraver.com/
Greece,Austria,1992,J,8,http://datagraver.com/
Serbia,Australia,2018,T,3,http://datagraver.com/
Turkey,Spain,1985,J,12,http://datagraver.com/
Austria,Monaco,1978,J,1,http://datagraver.com/
Italy,Cyprus,1989,J,2,http://datagraver.com/
Ireland,San Marino,2019,T,0,http://datagraver.com/
France,Switzerland,1977,J,0,http://datagraver.com/
United Kingdom,Greece,1985,J,0,http://datagraver.com/
Spain,Luxembourg,1991,J,0,http://datagraver.com/
Austria,Norway,1982,J,6,http://datagraver.com/
Germany,Austria,1984,J,0,http://datagraver.com/
Finland,Israel,1977,J,0,http://datagraver.com/
Israel,Belgium,1983,J,0,http://datagraver.com/
Austria,Finland,1981,J,0,http://datagraver.com/
Germany,Sweden,1979,J,0,http://datagraver.com/
Austria,Ukraine,2017,T,0,http://datagraver.com/
Sweden,Israel,2019,J,0,http://datagraver.com/
Finland,Finland,1977,J,0,http://datagraver.com/
Denmark,North Macedonia,2019,J,10,http://datagraver.com/
Monaco,France,1975,J,7,http://datagraver.com/
Belgium,Portugal,1999,J,0,http://datagraver.com/
Germany,Norway,1988,J,1,http://datagraver.com/
Ireland,Italy,1979,J,0,http://datagraver.com/
Norway,Denmark,1979,J,0,http://datagraver.com/
Spain,Cyprus,1981,J,0,http://datagraver.com/
Portugal,Germany,1977,J,8,http://datagraver.com/
United Kingdom,Germany,2019,J,0,http://datagraver.com/
Austria,Luxembourg,1977,J,0,http://datagraver.com/
Germany,Israel,2007,J,0,http://datagraver.com/
Belgium,United Kingdom,1976,J,12,http://datagraver.com/
Hungary,Poland,2019,J,8,http://datagraver.com/
Portugal,Sweden,2003,J,3,http://datagraver.com/
Finland,San Marino,2019,J,0,http://datagraver.com/
Germany,Monaco,1977,J,6,http://datagraver.com/
Germany,Finland,1981,J,0,http://datagraver.com/
Denmark,Luxembourg,1987,J,0,http://datagraver.com/
Romania,Germany,1994,J,12,http://datagraver.com/
Austria,The Netherlands,1990,J,0,http://datagraver.com/
Luxembourg,France,1981,J,12,http://datagraver.com/
